I-J-K: 1-3-32, True, tested images: 0, ncex=20, covered=198, not_covered=0, d=0.117836493598, 4:4-4
I-J-K: 1-3-33, True, tested images: 1, ncex=21, covered=199, not_covered=0, d=0.206324168517, 0:0-8
I-J-K: 1-3-34, True, tested images: 0, ncex=21, covered=200, not_covered=0, d=0.0857053526923, 1:1-1
I-J-K: 1-3-35, True, tested images: 0, ncex=21, covered=201, not_covered=0, d=0.118892497387, 8:8-8
I-J-K: 1-3-36, True, tested images: 0, ncex=21, covered=202, not_covered=0, d=0.133899208024, 1:1-1
I-J-K: 1-3-37, True, tested images: 0, ncex=21, covered=203, not_covered=0, d=0.0409140543391, 7:7-7
I-J-K: 1-3-38, True, tested images: 0, ncex=21, covered=204, not_covered=0, d=0.112783305502, 2:2-2
I-J-K: 1-3-39, True, tested images: 0, ncex=22, covered=205, not_covered=0, d=0.135245382146, 3:3-8
I-J-K: 1-3-40, True, tested images: 0, ncex=22, covered=206, not_covered=0, d=0.0420363667271, 8:8-8
I-J-K: 1-3-41, True, tested images: 0, ncex=22, covered=207, not_covered=0, d=0.107342372952, 6:6-6
I-J-K: 1-3-42, True, tested images: 0, ncex=22, covered=208, not_covered=0, d=0.0728236344986, 1:1-1
I-J-K: 1-3-43, True, tested images: 0, ncex=22, covered=209, not_covered=0, d=0.0259868819982, 6:6-6
I-J-K: 1-3-44, True, tested images: 0, ncex=22, covered=210, not_covered=0, d=0.0713851363377, 7:7-7
I-J-K: 1-3-45, True, tested images: 0, ncex=22, covered=211, not_covered=0, d=0.0989352270344, 1:1-1
I-J-K: 1-3-46, True, tested images: 0, ncex=22, covered=212, not_covered=0, d=0.103663625281, 1:1-1
I-J-K: 1-3-47, True, tested images: 0, ncex=22, covered=213, not_covered=0, d=0.0910227080909, 1:1-1
I-J-K: 1-3-48, True, tested images: 0, ncex=22, covered=214, not_covered=0, d=0.127540320576, 3:3-3
I-J-K: 1-3-49, True, tested images: 0, ncex=22, covered=215, not_covered=0, d=0.10171718625, 8:8-8
I-J-K: 1-3-50, True, tested images: 0, ncex=22, covered=216, not_covered=0, d=0.0578132571187, 9:9-9
I-J-K: 1-3-51, True, tested images: 0, ncex=22, covered=217, not_covered=0, d=0.0341415738805, 2:2-2
I-J-K: 1-3-52, True, tested images: 0, ncex=22, covered=218, not_covered=0, d=0.0513031840329, 2:2-2
I-J-K: 1-3-53, True, tested images: 0, ncex=22, covered=219, not_covered=0, d=0.121420963876, 1:1-1
I-J-K: 1-3-54, True, tested images: 0, ncex=22, covered=220, not_covered=0, d=0.0652824424471, 7:7-7
I-J-K: 1-4-0, True, tested images: 0, ncex=22, covered=221, not_covered=0, d=0.0304749743929, 4:4-4
I-J-K: 1-4-1, True, tested images: 0, ncex=22, covered=222, not_covered=0, d=0.0903489164009, 3:3-3
I-J-K: 1-4-2, True, tested images: 0, ncex=22, covered=223, not_covered=0, d=0.0633814034304, 0:0-0
I-J-K: 1-4-3, True, tested images: 0, ncex=22, covered=224, not_covered=0, d=0.119805183857, 7:7-7
I-J-K: 1-4-4, True, tested images: 0, ncex=22, covered=225, not_covered=0, d=0.0990679240479, 3:3-3
I-J-K: 1-4-5, True, tested images: 0, ncex=22, covered=226, not_covered=0, d=0.066845003659, 7:7-7
I-J-K: 1-4-6, True, tested images: 0, ncex=22, covered=227, not_covered=0, d=0.0914794483398, 2:2-2
I-J-K: 1-4-7, True, tested images: 0, ncex=22, covered=228, not_covered=0, d=0.0816336007346, 1:1-1
I-J-K: 1-4-8, True, tested images: 0, ncex=22, covered=229, not_covered=0, d=0.0375480318891, 3:3-3
I-J-K: 1-4-9, True, tested images: 0, ncex=23, covered=230, not_covered=0, d=0.22671157207, 1:1-8
I-J-K: 1-4-10, True, tested images: 0, ncex=23, covered=231, not_covered=0, d=0.0714752648105, 2:2-2
I-J-K: 1-4-11, True, tested images: 0, ncex=23, covered=232, not_covered=0, d=0.0799293845381, 8:8-8
I-J-K: 1-4-12, True, tested images: 0, ncex=23, covered=233, not_covered=0, d=0.0491589552968, 4:4-4
I-J-K: 1-4-13, True, tested images: 0, ncex=23, covered=234, not_covered=0, d=0.100604731698, 0:0-0
I-J-K: 1-4-14, True, tested images: 0, ncex=23, covered=235, not_covered=0, d=0.130736310855, 8:8-8
I-J-K: 1-4-15, True, tested images: 0, ncex=23, covered=236, not_covered=0, d=0.169438936167, 0:0-0
I-J-K: 1-4-16, True, tested images: 0, ncex=23, covered=237, not_covered=0, d=0.0580390074848, 9:9-9
I-J-K: 1-4-17, True, tested images: 0, ncex=23, covered=238, not_covered=0, d=0.0524693894385, 8:8-8
I-J-K: 1-4-18, True, tested images: 0, ncex=23, covered=239, not_covered=0, d=0.0227683783974, 5:5-5
I-J-K: 1-4-19, True, tested images: 0, ncex=23, covered=240, not_covered=0, d=0.187504365802, 3:3-3
I-J-K: 1-4-20, True, tested images: 0, ncex=23, covered=241, not_covered=0, d=0.0482868298201, 5:5-5
I-J-K: 1-4-21, True, tested images: 0, ncex=23, covered=242, not_covered=0, d=0.062627463071, 1:1-1
I-J-K: 1-4-22, True, tested images: 0, ncex=24, covered=243, not_covered=0, d=0.0339198899989, 7:7-4
I-J-K: 1-4-23, True, tested images: 0, ncex=24, covered=244, not_covered=0, d=0.0922347431968, 9:9-9
I-J-K: 1-4-24, True, tested images: 0, ncex=24, covered=245, not_covered=0, d=0.0734030804826, 8:8-8
I-J-K: 1-4-25, True, tested images: 0, ncex=24, covered=246, not_covered=0, d=0.115685893145, 8:8-8
I-J-K: 1-4-26, True, tested images: 0, ncex=24, covered=247, not_covered=0, d=0.0726847113451, 3:3-3
